path	organism	taxa1	taxa2	taxa3	GenomeSize	Coding	GeneSize	AlternativeSplicingRatio
GCF_000092105.1_ASM9210v1	Planctopirus limnophila DSM 3776	Bacteria	Bacteria	Bacteria	5460085	4523277	4542105	1.00062
GCF_007746295.1_ASM774629v1	Gimesia maris	Bacteria	Bacteria	Bacteria	7530055	6407212	6426806	1.0006
GCF_000025185.1_ASM2518v1	Pirellula staleyi DSM 6068	Bacteria	Bacteria	Bacteria	6196199	5237554	5253780	1.00052
GCF_000186345.1_ASM18634v1	Isosphaera pallida ATCC 43644	Bacteria	Bacteria	Bacteria	5529304	4546599	4571514	1.00076
GCF_009685195.1_ASM968519v1	Methylocystis parvus	Bacteria	Bacteria	Bacteria	4529043	3865603	3889392	1.00148
GCF_002151465.1_ASM215146v1	Borreliella burgdorferi	Bacteria	Bacteria	Bacteria	1288112	1112152	1126575	1.00211
GCF_000012065.2_ASM1206v2	Borrelia hermsii DAH	Bacteria	Bacteria	Bacteria	1066225	926549	937264	1.0021
GCF_000568735.2_ASM56873v2	Borrelia parkeri SLO	Bacteria	Bacteria	Bacteria	1053291	863483	874004	1.00206
GCF_000012085.2_ASM1208v2	Borrelia turicatae 91E135	Bacteria	Bacteria	Bacteria	1165365	1028966	1040146	1.00221
GCF_000568655.1_ASM56865v1	Borrelia anserina BA2	Bacteria	Bacteria	Bacteria	1147345	991579	1002677	1.00215
GCF_000568755.1_ASM56875v1	Borrelia coriaceae ATCC 43381	Bacteria	Bacteria	Bacteria	1730484	1307670	1319562	1.00193
GCF_000147075.1_ASM14707v1	Spirochaeta thermophila DSM 6192	Bacteria	Bacteria	Bacteria	2472645	2305643	2329273	1.00339
GCF_000008185.1_ASM818v1	Treponema denticola ATCC 35405	Bacteria	Bacteria	Bacteria	2843201	2551635	2571871	1.00153
GCF_001676785.2_ASM167678v2	Brachyspira hyodysenteriae ATCC 27164	Bacteria	Bacteria	Bacteria	3074045	2634673	2648017	1.00057
GCF_000410535.2_ASM41053v2	Treponema pallidum subsp. pallidum str. Nichols	Bacteria	Bacteria	Bacteria	1139633	1043132	1061309	1.00363
GCF_008152825.1_ASM815282v1	Treponema phagedenis	Bacteria	Bacteria	Bacteria	3446583	2780445	2801790	1.00177
GCF_000195275.1_ASM19527v1	Treponema succinifaciens DSM 2489	Bacteria	Bacteria	Bacteria	2897425	2531945	2562135	1.00176
GCF_000017605.1_ASM1760v1	Leptospira biflexa serovar Patoc strain 'Patoc 1 (Ames)'	Bacteria	Bacteria	Bacteria	3956089	3640941	3665315	1.00227
GCF_005222625.1_ASM522262v1	Leptospira interrogans	Bacteria	Bacteria	Bacteria	5071735	3677931	3700784	1.00172
GCF_009858055.1_ASM985805v1	Leptospira borgpetersenii	Bacteria	Bacteria	Bacteria	3887691	3046006	3059713	1.00177
GCF_000284315.1_ASM28431v1	Leptospirillum ferrooxidans C2-3	Bacteria	Bacteria	Bacteria	2559538	2241957	2268724	1.0024
GCF_001315015.1_ASM131501v1	Azospirillum brasilense	Bacteria	Bacteria	Bacteria	6587527	5735863	5800293	1.00116
GCF_000283655.1_ASM28365v1	Azospirillum lipoferum 4B	Bacteria	Bacteria	Bacteria	6846400	5928779	5981707	1.00122
GCF_001865535.1_ASM186553v1	Campylobacter coli	Bacteria	Bacteria	Bacteria	1924810	1744943	1764522	1.00293
GCF_007723545.1_ASM772354v1	Campylobacter fetus subsp. fetus	Bacteria	Bacteria	Bacteria	1849237	1685418	1710850	1.00308
GCF_017356945.1_ASM1735694v1	Campylobacter jejuni	Bacteria	Bacteria	Bacteria	1625508	1479170	1502962	1.00286
GCF_005844045.1_ASM584404v1	Campylobacter hyointestinalis subsp. hyointestinalis	Bacteria	Bacteria	Bacteria	1758980	1583782	1608390	1.00292
GCF_003048775.2_ASM304877v2	Campylobacter concisus	Bacteria	Bacteria	Bacteria	1834912	1659930	1683593	1.0023
GCF_013372125.1_ASM1337212v1	Campylobacter curvus	Bacteria	Bacteria	Bacteria	1974918	1762531	1787318	1.00221
GCF_016726265.1_ASM1672626v1	Campylobacter lari	Bacteria	Bacteria	Bacteria	1513367	1410352	1434754	1.00312
GCF_004803775.1_ASM480377v1	Campylobacter mucosalis CCUG 21559	Bacteria	Bacteria	Bacteria	1860007	1723724	1743793	1.00284
GCF_004803795.1_ASM480379v1	Campylobacter rectus	Bacteria	Bacteria	Bacteria	2571679	2009806	2036127	1.00207
GCF_900699785.1_B91_SC	Campylobacter showae	Bacteria	Bacteria	Bacteria	2160580	1864236	1887915	1.00192
GCF_002220735.1_ASM222073v1	Campylobacter sputorum bv. faecalis CCUG 20703	Bacteria	Bacteria	Bacteria	1757292	1590444	1615233	1.00273
GCF_000600145.1_ASM60014v1	Helicobacter pylori oki154	Bacteria	Bacteria	Bacteria	1599700	1360264	1376757	1.00181
GCF_900198455.1_ERZ466418	Helicobacter acinonychis	Bacteria	Bacteria	Bacteria	1550239	1283911	1300255	1.00183
GCF_003130625.1_ASM313062v1	Helicobacter cinaedi	Bacteria	Bacteria	Bacteria	1995911	1720159	1738652	1.00218
GCF_000200595.1_ASM20059v1	Helicobacter felis ATCC 49179	Bacteria	Bacteria	Bacteria	1672681	1508497	1524824	1.00324
GCF_000091985.1_ASM9198v1	Helicobacter mustelae 12198	Bacteria	Bacteria	Bacteria	1578097	1365701	1383103	1.00226
GCF_004328865.1_ASM432886v1	Pseudoalteromonas carrageenovora	Bacteria	Bacteria	Bacteria	4597803	3995625	4052856	1.00083
GCF_000740945.1_ASM74094v1	Brucella abortus	Bacteria	Bacteria	Bacteria	3281754	2713216	2739708	1.00171
GCF_000016845.1_ASM1684v1	Brucella ovis ATCC 25840	Bacteria	Bacteria	Bacteria	3275590	2578998	2604864	1.00167
GCF_900475375.1_42685_B01	Elizabethkingia meningoseptica	Bacteria	Bacteria	Bacteria	3874791	3369507	3397697	1.00076
GCF_003815995.1_ASM381599v1	Chryseobacterium balustinum	Bacteria	Bacteria	Bacteria	4974086	4216124	4266967	1.00083
GCF_008705155.1_ASM870515v1	Empedobacter brevis	Bacteria	Bacteria	Bacteria	3636346	3183838	3232989	1.00114
GCF_900636535.1_42727_A01	Chryseobacterium gleum	Bacteria	Bacteria	Bacteria	5606922	4806483	4849269	1.00089
GCF_016694815.1_ASM1669481v1	Chryseobacterium indologenes	Bacteria	Bacteria	Bacteria	4928298	4263405	4299742	1.00072
GCF_016657085.1_ASM1665708v1	Chryseobacterium indoltheticum	Bacteria	Bacteria	Bacteria	4446568	3792818	3832191	1.00073
GCF_016727005.1_ASM1672700v1	Myroides odoratus	Bacteria	Bacteria	Bacteria	4167722	3536657	3578078	1.0008
GCF_016724845.1_ASM1672484v1	Sphingobacterium spiritivorum	Bacteria	Bacteria	Bacteria	5275260	4701680	4734214	1.00085
GCF_901482695.1_45076_G02	Sphingobacterium thalpophilum	Bacteria	Bacteria	Bacteria	5962893	5232230	5280241	1.00085
GCF_000014605.1_ASM1460v1	Francisella tularensis subsp. holarctica OSU18	Bacteria	Bacteria	Bacteria	1895727	1434735	1456523	1.00172
GCF_021044605.1_ASM2104460v1	Paracoccus denitrificans	Bacteria	Bacteria	Bacteria	4881426	4307689	4339012	1.00174
GCF_001399775.1_ASM139977v1	Thermus aquaticus Y51MC23	Bacteria	Bacteria	Bacteria	2338641	2129646	2156796	1.00415
GCF_016865275.1_ASM1686527v1	Thermus thermophilus	Bacteria	Bacteria	Bacteria	2166214	1990087	2020434	1.00438
GCF_000024425.1_ASM2442v1	Meiothermus ruber DSM 1279	Bacteria	Bacteria	Bacteria	3097457	2805120	2826603	1.00175
GCF_020683165.1_ASM2068316v1	Xanthobacter autotrophicus	Bacteria	Bacteria	Bacteria	5216997	4479270	4498543	1.00111
GCF_014076475.1_ASM1407647v1	Comamonas testosteroni	Bacteria	Bacteria	Bacteria	5975089	5103072	5160325	1.00085
GCF_000414035.1_ASM41403v1	Pseudomonas aeruginosa RP73	Bacteria	Bacteria	Bacteria	6342034	5623307	5659712	1.00117
GCF_002374815.1_ASM237481v1	Pseudoalteromonas atlantica	Bacteria	Bacteria	Bacteria	3669595	3189746	3241367	1.0009
GCF_002407525.2_ASM240752v3	Burkholderia cepacia	Bacteria	Bacteria	Bacteria	8569824	7305253	7356083	1.00085
GCF_002205555.1_ASM220555v1	Brevundimonas diminuta	Bacteria	Bacteria	Bacteria	3385620	3033787	3054289	1.00115
GCF_010448615.1_ASM1044861v1	Pseudomonas fluorescens	Bacteria	Bacteria	Bacteria	6418441	5723582	5769400	1.00104
GCF_001543265.1_ASM154326v1	Pseudomonas fragi	Bacteria	Bacteria	Bacteria	5101809	4234034	4271699	1.00092
GCF_003574215.1_ASM357421v1	Hydrogenophilus thermoluteolus	Bacteria	Bacteria	Bacteria	2288780	2146687	2173340	1.0028
GCF_002442555.1_ASM244255v1	Pseudomonas mendocina	Bacteria	Bacteria	Bacteria	5157724	4558207	4592282	1.0009
GCF_900626055.1_Pseudomonas_oleovorans_T9AD	Pseudomonas oleovorans	Bacteria	Bacteria	Bacteria	5626754	4947272	4982222	1.00106
GCF_008605605.1_ASM860560v1	Pseudomonas putida	Bacteria	Bacteria	Bacteria	5413503	4690413	4739310	1.00113
GCF_018731965.1_ASM1873196v1	Ralstonia solanacearum	Bacteria	Bacteria	Bacteria	5708904	4584026	4617120	1.00103
GCF_001038645.1_ASM103864v1	Pseudomonas stutzeri	Bacteria	Bacteria	Bacteria	4650155	4028236	4060282	1.00101
GCF_000988395.1_ASM98839v1	Pseudomonas syringae pv. syringae HS191	Bacteria	Bacteria	Bacteria	6002759	5050750	5089577	1.00095
GCF_002393485.1_ASM239348v1	Ralstonia pickettii	Bacteria	Bacteria	Bacteria	4818052	4289878	4313690	1.00085
GCF_009857095.1_ASM985709v1	Burkholderia glumae AU6208	Bacteria	Bacteria	Bacteria	6530819	5247259	5286282	1.00093
GCF_000589975.1_20120413	Xanthomonas campestris pv. campestris str. CFBP 5130	Bacteria	Bacteria	Bacteria	5056538	4189454	4213939	1.00108
GCF_001021935.1_ASM102193v1	Xanthomonas translucens pv. undulosa	Bacteria	Bacteria	Bacteria	4561137	3803734	3825158	1.00093
GCF_001610795.1_ASM161079v1	Xanthomonas citri pv. aurantifolii	Bacteria	Bacteria	Bacteria	5272646	4271220	4297655	1.00101
GCF_004355705.1_ASM435570v1	Xanthomonas oryzae pv. oryzae	Bacteria	Bacteria	Bacteria	4915674	3662297	3695078	1.0011
GCF_016406165.1_ASM1640616v1	Azotobacter chroococcum	Bacteria	Bacteria	Bacteria	5075724	4284665	4330678	1.00124
GCF_000021045.1_ASM2104v1	Azotobacter vinelandii DJ	Bacteria	Bacteria	Bacteria	5365318	4574503	4617571	1.00111
GCF_014489975.1_ASM1448997v1	Agrobacterium tumefaciens	Bacteria	Bacteria	Bacteria	5109662	4494354	4526976	1.00103
GCF_018138105.1_ASM1813810v1	Agrobacterium rhizogenes	Bacteria	Bacteria	Bacteria	7111375	6240064	6272293	1.00108
GCF_000016285.1_ASM1628v1	Agrobacterium vitis S4	Bacteria	Bacteria	Bacteria	6320946	5376682	5412869	1.00133
GCF_000284375.1_ASM28437v1	Bradyrhizobium japonicum USDA 6	Bacteria	Bacteria	Bacteria	9207384	7544922	7575667	1.00107
GCF_900011265.1_G22.v1	Bradyrhizobium sp.	Bacteria	Bacteria	Bacteria	9091355	7494386	7519452	1.00099
GCF_000018545.1_ASM1854v1	Sinorhizobium fredii NGR234	Bacteria	Bacteria	Bacteria	6891900	5765645	5796263	1.00103
GCF_013170705.1_ASM1317070v1	Mesorhizobium loti	Bacteria	Bacteria	Bacteria	6870350	5957685	5979883	1.00112
GCF_002197445.1_ASM219744v1	Sinorhizobium meliloti	Bacteria	Bacteria	Bacteria	7147943	5956719	5990157	1.00000
GCF_002240185.1_ASM224018v1	Rhizobium leguminosarum bv. viciae	Bacteria	Bacteria	Bacteria	6957630	5923429	5954428	1.00102
GCF_001664165.1_ASM166416v1	Rhizobium phaseoli	Bacteria	Bacteria	Bacteria	6720332	5742446	5773836	1.00096
GCF_000330885.1_ASM33088v1	Rhizobium tropici CIAT 899	Bacteria	Bacteria	Bacteria	6686334	5721429	5753757	1.00113
GCF_000731315.1_RG540_Ch_pA	Neorhizobium galegae bv. orientalis str. HAMBI 540	Bacteria	Bacteria	Bacteria	6455027	5633255	5663762	1.00101
GCF_000013705.1_ASM1370v1	Methylobacillus flagellatus KT	Bacteria	Bacteria	Bacteria	2971517	2647272	2666975	1.0013
GCF_000022685.1_ASM2268v1	Methylorubrum extorquens AM1	Bacteria	Bacteria	Bacteria	6879778	5730904	5781643	1.00103
GCF_019285575.1_ASM1928557v1	Methylococcus capsulatus	Bacteria	Bacteria	Bacteria	3255256	2901512	2925570	1.00183
GCF_000214665.1_ASM21466v1	Methylomonas methanica MC09	Bacteria	Bacteria	Bacteria	5051681	4386969	4415801	1.00141
GCF_002752655.1_ASM275265v1	Methylosinus trichosporium OB3b	Bacteria	Bacteria	Bacteria	5183433	4379780	4411378	1.00165
GCF_014218315.1_ASM1421831v1	Acetobacter aceti	Bacteria	Bacteria	Bacteria	3967892	3220160	3251255	1.00135
GCF_000241585.2_ASM24158v3	Acetobacter pasteurianus NBRC 101655	Bacteria	Bacteria	Bacteria	3100990	2718686	2753796	1.00137
GCF_000011685.1_ASM1168v1	Gluconobacter oxydans 621H	Bacteria	Bacteria	Bacteria	2922384	2498021	2527328	1.00158
GCF_001941585.1_ASM194158v1	Legionella pneumophila	Bacteria	Bacteria	Bacteria	3409143	2996240	3022037	1.00157
GCF_000953655.1_LHA	Legionella hackeliae	Bacteria	Bacteria	Bacteria	3570857	3114115	3144327	1.00145
GCF_019930685.1_ASM1993068v1	Legionella longbeachae	Bacteria	Bacteria	Bacteria	4165456	3515758	3549150	1.00153
GCF_002085735.1_ASM208573v1	Tatlockia micdadei	Bacteria	Bacteria	Bacteria	3250164	2766184	2790499	1.00128
GCF_900186965.1_50592_C01	Legionella spiritensis	Bacteria	Bacteria	Bacteria	3348070	2933972	2959845	1.00166
GCF_007361795.1_ASM736179v1	Legionella israelensis	Bacteria	Bacteria	Bacteria	3111640	2672497	2698584	1.00167
GCF_900637635.1_52313_A01	Legionella jordanis	Bacteria	Bacteria	Bacteria	3133723	2762798	2792442	1.00147
GCF_000236165.1_ASM23616v1	Fluoribacter dumoffii NY 23	Bacteria	Bacteria	Bacteria	3909670	3399452	3426555	1.00129
GCF_016350065.1_ASM1635006v1	Acinetobacter baumannii	Bacteria	Bacteria	Bacteria	4088238	3505330	3546628	1.00082
GCF_002055515.1_ASM205551v1	Acinetobacter calcoaceticus	Bacteria	Bacteria	Bacteria	4115994	3557641	3597808	1.00069
GCF_003287015.1_ASM328701v1	Moraxella bovis	Bacteria	Bacteria	Bacteria	2911207	2404421	2436098	1.00176
GCF_016028775.1_ASM1602877v1	Moraxella nonliquefaciens	Bacteria	Bacteria	Bacteria	2343743	1968838	2009836	1.00116
GCF_003971305.1_ASM397130v1	Moraxella catarrhalis	Bacteria	Bacteria	Bacteria	1909077	1599411	1626445	1.00078
GCF_016028715.1_ASM1602871v1	Neisseria cinerea	Bacteria	Bacteria	Bacteria	1832901	1555524	1581964	1.00061
GCF_005221285.1_ASM522128v1	Neisseria flavescens	Bacteria	Bacteria	Bacteria	2231882	1828694	1857242	1.00122
GCF_013030135.1_ASM1303013v1	Neisseria gonorrhoeae	Bacteria	Bacteria	Bacteria	2171348	1701356	1729805	1.00159
GCF_000196295.1_ASM19629v1	Neisseria lactamica 020-06	Bacteria	Bacteria	Bacteria	2220606	1770800	1798195	1.0009
GCF_900638595.1_58116_H01	Neisseria meningitidis	Bacteria	Bacteria	Bacteria	2228346	1748815	1778574	1.0014
GCF_013267835.1_ASM1326783v1	Neisseria mucosa	Bacteria	Bacteria	Bacteria	2224757	1889621	1916629	1.00045
GCF_003355195.1_ASM335519v1	Neisseria polysaccharea	Bacteria	Bacteria	Bacteria	2024930	1631716	1659357	1.00097
GCF_019334765.1_ASM1933476v1	Neisseria sicca ATCC 29256	Bacteria	Bacteria	Bacteria	2291167	1935336	1962574	1.00067
GCF_900636515.1_42685_A01	Neisseria animalis	Bacteria	Bacteria	Bacteria	2240945	1815512	1844639	1.00091
GCF_900636765.1_44503_A02	Neisseria canis	Bacteria	Bacteria	Bacteria	2569389	2109682	2138520	1.00065
GCF_000818035.1_ASM81803v1	Neisseria elongata subsp. glycolytica ATCC 29315	Bacteria	Bacteria	Bacteria	2256647	1870611	1898881	1.0011
GCF_000021685.1_ASM2168v1	Thermomicrobium roseum DSM 5159	Bacteria	Bacteria	Bacteria	2920744	2514823	2538391	1.00263
GCF_016127355.1_ASM1612735v1	Kingella denitrificans	Bacteria	Bacteria	Bacteria	2220058	1868885	1897397	1.00081
GCF_900475905.1_49595_E01	Kingella kingae	Bacteria	Bacteria	Bacteria	2006553	1692634	1720216	1.00132
GCF_014054985.1_ASM1405498v1	Kingella oralis	Bacteria	Bacteria	Bacteria	2420532	1982822	2022474	1.00139
GCF_002242175.1_ASM224217v1	Alcaligenes faecalis	Bacteria	Bacteria	Bacteria	4078346	3570587	3597275	1.00108
GCF_000317955.1_ASM31795v1	Bordetella bronchiseptica MO149	Bacteria	Bacteria	Bacteria	5091817	4652980	4681188	1.00100
GCF_009626015.1_ASM962601v1	Bordetella parapertussis	Bacteria	Bacteria	Bacteria	4773927	4073429	4100309	1.00094
GCF_001986935.1_ASM198693v1	Bordetella pertussis	Bacteria	Bacteria	Bacteria	4110589	3463344	3490196	1.00133
GCF_012974625.1_ASM1297462v1	Bordetella avium	Bacteria	Bacteria	Bacteria	3836621	3388536	3415930	1.00129
GCF_000016725.1_ASM1672v1	Acidiphilium cryptum JF-5	Bacteria	Bacteria	Bacteria	3963080	3516358	3540289	1.00197
GCF_015326295.1_ASM1532629v1	Brucella anthropi	Bacteria	Bacteria	Bacteria	4858647	4219339	4251460	1.00091
GCF_000019845.1_ASM1984v1	Beijerinckia indica subsp. indica ATCC 9039	Bacteria	Bacteria	Bacteria	4418616	3589911	3616096	1.00119
GCF_002735945.1_ASM273594v1	Chromobacterium violaceum	Bacteria	Bacteria	Bacteria	4386139	3831003	3884604	1.00129
GCF_004194535.1_ASM419453v1	Iodobacter fluviatilis	Bacteria	Bacteria	Bacteria	4588033	3737930	3800019	1.00141
GCF_003990355.1_ASM399035v1	Eikenella corrodens	Bacteria	Bacteria	Bacteria	2458478	1973458	2003794	1.00095
GCF_000576125.1_ASM57612v1	Zymomonas mobilis subsp. mobilis NRRL B-12526	Bacteria	Bacteria	Bacteria	2178998	1860874	1883070	1.00084
GCF_003812405.1_ASM381240v1	Citrobacter koseri	Bacteria	Bacteria	Bacteria	4581001	4019700	4071487	1.00128
GCF_013821695.1_ASM1382169v1	Citrobacter freundii	Bacteria	Bacteria	Bacteria	4719098	4119627	4174849	1.00132
GCF_009732795.1_ASM973279v1	Klebsiella aerogenes	Bacteria	Bacteria	Bacteria	5266224	4489963	4546671	1.0014
GCF_003860325.1_ASM386032v1	Pantoea agglomerans	Bacteria	Bacteria	Bacteria	4858869	4132928	4198084	1.00133
GCF_016864075.1_ASM1686407v1	Enterobacter cloacae	Bacteria	Bacteria	Bacteria	4483402	3971053	4025287	1.00139
GCF_012980805.1_ASM1298080v1	Erwinia amylovora	Bacteria	Bacteria	Bacteria	3832131	3185786	3235150	1.00144
GCF_003184965.2_ASM318496v2	Pantoea ananatis	Bacteria	Bacteria	Bacteria	4808686	4041912	4092237	1.00117
GCF_020520265.1_ASM2052026v1	Pectobacterium carotovorum	Bacteria	Bacteria	Bacteria	4896959	4166720	4214635	1.00100
GCF_000406065.1_DCH516_1.0	Dickeya chrysanthemi NCPPB 516	Bacteria	Bacteria	Bacteria	4617243	3832020	3853000	1.00101
GCF_014169855.1_ASM1416985v1	Escherichia coli	Bacteria	Bacteria	Bacteria	5441804	4660448	4712694	1.00146
GCF_900635135.1_36603_E01	Shimwellia blattae	Bacteria	Bacteria	Bacteria	4154215	3401019	3454667	1.00122
GCF_013899685.1_ASM1389968v1	Escherichia fergusonii	Bacteria	Bacteria	Bacteria	4718001	4037890	4089433	1.00141
GCF_016027855.1_ASM1602785v1	Atlantibacter hermannii	Bacteria	Bacteria	Bacteria	4554875	3944716	3996354	1.00133
GCF_902164725.1_25426_7_251	Pseudescherichia vulneris	Bacteria	Bacteria	Bacteria	4398823	3345922	3361523	1.00123
GCF_000597785.2_ASM59778v2	Hafnia alvei FB1	Bacteria	Bacteria	Bacteria	4712721	3963884	4017970	1.00107
GCF_000714655.1_ASM71465v1	Klebsiella oxytoca KONIH1	Bacteria	Bacteria	Bacteria	6684898	5779114	5843473	1.00151
GCF_001708225.1_ASM170822v1	Klebsiella pneumoniae	Bacteria	Bacteria	Bacteria	5587396	4834546	4892248	1.00147
GCF_019856295.1_ASM1985629v1	Raoultella planticola	Bacteria	Bacteria	Bacteria	6745406	5737393	5801784	1.00134
GCF_015571975.1_ASM1557197v1	Raoultella terrigena	Bacteria	Bacteria	Bacteria	5931899	5111279	5169320	1.00136
GCF_003071325.1_ASM307132v1	Morganella morganii	Bacteria	Bacteria	Bacteria	4298458	3654276	3707253	1.00142
GCF_020866825.1_ASM2086682v1	Proteus mirabilis	Bacteria	Bacteria	Bacteria	4141157	3517087	3537740	1.00117
GCF_015841135.1_ASM1584113v1	Proteus vulgaris	Bacteria	Bacteria	Bacteria	4140656	3461015	3509600	1.00098
GCF_013702245.1_ASM1370224v1	Providencia rettgeri	Bacteria	Bacteria	Bacteria	4337992	3621491	3669645	1.00119
GCF_001888205.1_ASM188820v1	Providencia stuartii	Bacteria	Bacteria	Bacteria	4607493	3733710	3786028	1.00121
GCF_000975245.1_ASM97524v1	Serratia liquefaciens	Bacteria	Bacteria	Bacteria	5326657	4612559	4663746	1.00010
GCF_000336425.1_ASM33642v1	Serratia marcescens WW4	Bacteria	Bacteria	Bacteria	5244703	4573387	4623828	1.00111
GCF_900635445.1_28869_A02	Serratia odorifera	Bacteria	Bacteria	Bacteria	5272556	3475773	3525656	1.00127
GCF_013394535.1_ASM1339453v1	Shigella boydii	Bacteria	Bacteria	Bacteria	4833494	3506322	3557424	1.00132
GCF_002949715.1_ASM294971v1	Shigella dysenteriae	Bacteria	Bacteria	Bacteria	4707813	2845736	2896544	1.00161
GCF_009738305.1_ASM973830v1	Shigella flexneri	Bacteria	Bacteria	Bacteria	4646599	3277837	3296717	1.00125
GCF_013374815.1_ASM1337481v1	Shigella sonnei	Bacteria	Bacteria	Bacteria	4762774	4074974	4125512	1.00137
GCF_000953355.1_XNC2	Xenorhabdus nematophila AN6/1	Bacteria	Bacteria	Bacteria	4586662	3605171	3652444	1.00116
GCF_001708615.1_ASM170861v1	Yersinia enterocolitica	Bacteria	Bacteria	Bacteria	4787042	3737142	3788623	1.00118
GCF_000834515.1_ASM83451v1	Yersinia intermedia	Bacteria	Bacteria	Bacteria	4859749	4046362	4096428	1.00093
GCF_009295985.1_ASM929598v1	Yersinia pestis subsp. pestis bv. Medievalis	Bacteria	Bacteria	Bacteria	4783760	3817200	3865486	1.00114
GCF_003798425.1_ASM379842v1	Yersinia pseudotuberculosis	Bacteria	Bacteria	Bacteria	5096964	4170332	4222082	1.00112
GCF_013282745.1_ASM1328274v1	Yersinia bercovieri ATCC 43970	Bacteria	Bacteria	Bacteria	4401367	3655146	3703879	1.0011
GCF_003354245.1_ASM335424v1	Edwardsiella tarda	Bacteria	Bacteria	Bacteria	3755402	3165094	3212877	1.00122
GCF_004768525.1_ASM476852v1	Arsenophonus nasoniae	Bacteria	Bacteria	Bacteria	4987107	3721279	3781165	1.00271
GCF_003491225.1_ASM349122v1	Aeromonas hydrophila	Bacteria	Bacteria	Bacteria	5159182	4399164	4464206	1.00089
GCF_012931585.1_ASM1293158v1	Aeromonas salmonicida	Bacteria	Bacteria	Bacteria	4621725	3974002	4041592	1.0011
GCF_020181575.1_ASM2018157v1	Aeromonas caviae	Bacteria	Bacteria	Bacteria	4682417	4024542	4088945	1.00099
GCF_016865345.1_ASM1686534v1	Aeromonas jandaei	Bacteria	Bacteria	Bacteria	4541146	3904758	3968917	1.00097
GCF_020423125.1_ASM2042312v1	Aeromonas media	Bacteria	Bacteria	Bacteria	4531033	3830588	3896390	1.00093
GCF_001447335.1_ASM144733v1	Aeromonas schubertii	Bacteria	Bacteria	Bacteria	4400034	3708049	3770040	1.00149
GCF_000204115.1_ASM20411v1	Aeromonas veronii B565	Bacteria	Bacteria	Bacteria	4551783	3938186	4000586	1.0009
GCF_016026615.1_ASM1602661v1	Aeromonas allosaccharophila	Bacteria	Bacteria	Bacteria	4630407	3969746	4035758	1.0010
GCF_002149085.1_ASM214908v1	Vibrio alginolyticus	Bacteria	Bacteria	Bacteria	5655141	4807910	4883584	1.00095
